,Tuition,UG,SAT_AVG_ALL,PCTPELL
264,25287.0,138.0,1107.0,0.3378
265,17219.0,10652.0,970.0,0.4621
266,25260.0,2418.0,1314.0,0.199
267,23345.0,2090.0,1050.0,0.3133
268,15201.0,16350.0,1070.0,0.339
269,16996.0,1534.0,1026.0,0.4875
270,32575.0,3315.0,1209.0,0.1519
271,24556.0,2223.0,1208.0,0.1948
272,20879.0,2624.0,1157.0,0.2339
273,21698.0,1020.0,994.0,0.3628
274,17533.0,1041.0,1059.0,0.323
275,17605.0,1175.0,1063.0,0.2897
276,20588.0,1142.0,1103.0,0.3057
277,22685.0,485.0,984.0,0.3272
278,19983.0,897.0,1029.0,0.3408
279,14961.0,9772.0,995.0,0.3121
280,12861.0,20211.0,1014.0,0.3721
281,21890.0,2856.0,1030.0,0.3435
282,23834.0,2052.0,962.0,0.6678
283,11990.0,8539.0,1002.0,0.3331
284,12143.0,9537.0,910.0,0.4343
285,9899.0,2381.0,947.0,0.3072
286,10035.0,5897.0,955.0,0.3354
287,15349.0,29383.0,1199.0,0.1604
288,8549.0,4101.0,928.0,0.3038
289,11534.0,5655.0,955.0,0.3485
290,9263.0,2262.0,961.0,0.328
291,20203.0,1054.0,1013.0,0.3681
292,19193.0,1271.0,1026.0,0.2742
293,26318.0,5220.0,1086.0,0.4004
294,29727.0,8038.0,1455.0,0.1051
295,23867.0,1125.0,925.0,0.1268
296,11207.0,8088.0,960.0,0.3252
297,9625.0,3416.0,943.0,0.2266
298,36068.0,1581.0,1322.0,0.1667
299,16197.0,1385.0,974.0,0.4148
300,16530.0,1354.0,952.0,0.4826
301,25332.0,1449.0,1125.0,0.2205
302,25709.0,1843.0,1191.0,0.1759
303,25583.0,1267.0,1089.0,0.1713
304,20626.0,2979.0,1159.0,0.2504
305,20373.0,858.0,1145.0,0.2695
306,19869.0,2629.0,1010.0,0.4747
307,20618.0,1336.0,1068.0,0.2495
308,23799.0,1107.0,1045.0,0.3656
309,20496.0,1256.0,1126.0,0.2941
310,24559.0,987.0,1177.0,0.3361
311,23777.0,1420.0,1159.0,0.2695
312,27303.0,2890.0,1224.0,0.1593
313,22006.0,655.0,944.0,0.4414
314,13940.0,294.0,1069.0,0.5
315,13261.0,382.0,1051.0,0.456
316,16666.0,1477.0,961.0,0.4159
317,17251.0,1378.0,969.0,0.3898
318,23192.0,1344.0,1402.0,0.222
319,13997.0,22087.0,1142.0,0.2134
320,22620.0,777.0,949.0,0.482
321,14085.0,19284.0,1164.0,0.1918
322,18325.0,1626.0,1088.0,0.2389
323,24974.0,2621.0,1179.0,0.1866
324,20899.0,968.0,1070.0,0.3376
325,18102.0,1363.0,990.0,0.347
326,15961.0,12413.0,1050.0,0.2631
327,20464.0,1243.0,1141.0,0.2913
328,24479.0,2116.0,1050.0,0.2539
329,22120.0,1912.0,1104.0,0.2711
330,17737.0,4758.0,930.0,0.4402
331,20832.0,600.0,937.0,0.5323
332,22896.0,1600.0,1105.0,0.221
333,21249.0,828.0,1048.0,0.3912
334,24221.0,1323.0,1129.0,0.2096
335,19832.0,608.0,959.0,0.4073
336,14409.0,4198.0,1030.0,0.3919
337,16474.0,2668.0,1014.0,0.4093
338,18755.0,19698.0,1145.0,0.2289
339,13906.0,1557.0,1095.0,0.1611
340,20514.0,697.0,1020.0,0.4258
341,18609.0,406.0,1025.0,0.3987
342,20003.0,463.0,940.0,0.42
343,18597.0,1302.0,1015.0,0.383
344,14850.0,510.0,978.0,0.325
345,22807.0,1114.0,999.0,0.3741
346,17648.0,440.0,990.0,0.4597
347,21434.0,572.0,1007.0,0.3385
348,14945.0,11377.0,1089.0,0.3607
349,10968.0,557.0,1006.0,0.5495
350,25897.0,1338.0,1101.0,0.3281
351,23494.0,2347.0,1120.0,0.2476
352,4222.0,1590.0,1117.0,0.8328
353,10731.0,688.0,1003.0,0.57
354,16674.0,1500.0,986.0,0.4261
355,23062.0,1055.0,1279.0,0.1449
356,16357.0,1554.0,1022.0,0.3992
357,11647.0,13285.0,1028.0,0.4336
358,19210.0,1365.0,1045.0,0.3687
359,8770.0,2129.0,931.0,0.6397
360,17719.0,680.0,1048.0,0.5049
361,16298.0,16897.0,1143.0,0.2479
362,19282.0,569.0,977.0,0.4682
363,15782.0,14464.0,1159.0,0.2894
